ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,Country
10223,37,100,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10361,20,72.55,13,1451,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,Australia
10174,34,100,4,8014.82,11-06-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10270,21,100,9,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,Australia
10347,30,100,1,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10391,24,100,4,2416.56,03-09-2005 00:00,Shipped,1,3,2005,Classic Cars,Australia
10120,29,96.34,3,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,47,100,4,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10361,26,51.15,8,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,Australia
10374,39,100,5,5288.01,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,Australia
10120,46,100,2,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,49,100,3,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10374,22,100,1,3834.38,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,Australia
10270,32,100,2,4302.08,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,Australia
10347,27,100,2,4428,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10370,35,65.63,4,2297.05,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,Australia
10391,37,46.9,7,1735.3,03-09-2005 00:00,Shipped,1,3,2005,Classic Cars,Australia
10169,30,100,2,5019.9,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10174,43,100,1,6817.22,11-06-2003 00:00,Shipped,4,11,2003,Trucks and Buses,Australia
10270,28,100,6,4094.72,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,Australia
10347,29,100,3,3586.43,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,Australia
10370,49,100,8,8470.14,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10391,39,63.2,9,2464.8,03-09-2005 00:00,Shipped,1,3,2005,Trucks and Buses,Australia
10169,35,100,13,4639.25,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10169,36,63.84,3,2298.24,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10174,48,93.34,3,4480.32,11-06-2003 00:00,Shipped,4,11,2003,Trucks and Buses,Australia
10270,43,96.84,8,4164.12,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,Australia
10347,42,49.6,5,2083.2,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,Australia
10370,27,100,1,3911.49,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10391,29,85.1,10,2467.9,03-09-2005 00:00,Shipped,1,3,2005,Trucks and Buses,Australia
10148,23,100,13,2702.04,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10342,40,100,2,6454.4,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10125,32,100,1,3254.72,5/21/2003 0:00,Shipped,2,5,2003,Vintage Cars,Australia
10139,31,100,7,3184.94,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,28,100,7,3106.88,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10391,35,100,2,5548.9,03-09-2005 00:00,Shipped,1,3,2005,Vintage Cars,Australia
10139,49,43.13,6,2113.37,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,46,53.37,6,2455.02,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10347,21,58.95,7,1237.95,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10391,42,100,3,4998,03-09-2005 00:00,Shipped,1,3,2005,Vintage Cars,Australia
10148,47,100,9,5848.68,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10193,21,100,14,3141.6,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10420,37,100,5,5283.6,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10342,55,65.45,1,3599.75,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10148,25,100,12,4232,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10342,22,100,3,3160.74,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10193,42,59.33,13,2491.86,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10420,36,63.57,4,2288.52,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10370,22,100,5,3949,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10193,44,100,11,4642.88,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10420,45,100,2,4977,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10347,50,100,8,6834.5,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,Australia
10370,22,96.86,7,2130.92,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10391,44,38.5,5,1694,03-09-2005 00:00,Shipped,1,3,2005,Trucks and Buses,Australia
10120,29,71.81,8,2082.49,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,47,100,9,4724.91,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10374,42,69.27,2,2909.34,02-02-2005 00:00,Shipped,1,2,2005,Planes,Australia
10120,46,58.15,4,2674.9,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,28,60.57,5,1695.96,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10374,22,53.3,4,1172.6,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,Australia
10125,34,100,2,6483.46,5/21/2003 0:00,Shipped,2,5,2003,Vintage Cars,Australia
10139,41,100,8,7956.46,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,22,100,8,3675.32,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10347,21,100,6,4815.3,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10148,27,100,10,3528.36,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10139,46,100,1,5545.76,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10174,46,100,5,5592.22,11-06-2003 00:00,Shipped,4,11,2003,Vintage Cars,Australia
10193,28,93.21,1,2609.88,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10270,31,96.24,10,2983.44,7/19/2004 0:00,Shipped,3,7,2004,Vintage Cars,Australia
10347,48,100,9,4814.4,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10391,32,45.25,6,1448,03-09-2005 00:00,Shipped,1,3,2005,Vintage Cars,Australia
10139,20,71.2,3,1424,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,24,51.84,3,1244.16,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10347,34,64.96,10,2208.64,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10139,20,90.06,2,1801.2,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,23,100,2,2769.89,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10270,38,100,11,4775.08,7/19/2004 0:00,Shipped,3,7,2004,Vintage Cars,Australia
10347,45,100,11,4948.2,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10148,32,100,14,5418.88,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10342,30,100,4,5029.5,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10370,27,56.85,9,1534.95,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,Australia
10169,32,70.76,5,2264.32,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10265,45,86.84,2,3907.8,07-02-2004 00:00,Shipped,3,7,2004,Classic Cars,Australia
10342,25,66.74,5,1668.5,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10139,30,100,5,3095.4,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,32,79.37,5,2539.84,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10347,26,100,12,2656.94,11/29/2004 0:00,Shipped,4,11,2004,Vintage Cars,Australia
10169,36,100,4,4444.92,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10265,49,100,1,8427.02,07-02-2004 00:00,Shipped,3,7,2004,Classic Cars,Australia
10342,55,100,7,6548.3,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10148,28,100,11,3639.44,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10169,38,68.39,8,2598.82,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10342,26,55.95,8,1454.7,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,Australia
10415,51,100,5,6209.25,05-09-2005 00:00,Disputed,2,5,2005,Vintage Cars,Australia
10152,35,100,1,4524.1,9/25/2003 0:00,Shipped,3,9,2003,Classic Cars,Australia
10148,34,100,1,3598.22,09-11-2003 00:00,Shipped,3,9,2003,Vintage Cars,Australia
10193,24,97.55,15,2341.2,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10420,66,92.95,6,6134.7,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10270,38,100,3,5383.08,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,Australia
10347,45,100,4,5884.65,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,Australia
10370,29,57.53,6,1668.37,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10174,49,44.78,2,2194.22,11-06-2003 00:00,Shipped,4,11,2003,Vintage Cars,Australia
10270,44,58.36,7,2567.84,7/19/2004 0:00,Shipped,3,7,2004,Vintage Cars,Australia
10370,20,100,2,2730,1/20/2005 0:00,Shipped,1,1,2005,Vintage Cars,Australia
10169,33,100,7,4910.4,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10342,38,100,11,6276.46,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10148,29,81.25,2,2356.25,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10193,25,76.26,16,1906.5,11/21/2003 0:00,Shipped,4,11,2003,Classic Cars,Australia
10420,36,57.73,7,2078.28,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10148,25,60.26,6,1506.5,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,60,64.67,11,3880.2,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10152,25,65.31,4,1632.75,9/25/2003 0:00,Shipped,3,9,2003,Classic Cars,Australia
10120,35,98.05,1,3431.75,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,32,91.29,2,2921.28,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10374,38,100,6,4197.1,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,Australia
10148,47,56.85,8,2671.95,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,37,60.37,13,2233.69,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10120,39,100,10,4651.53,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,34,100,11,3608.76,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10374,46,94.1,3,4328.6,02-02-2005 00:00,Shipped,1,2,2005,Planes,Australia
10193,26,29.21,10,759.46,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10391,33,100,8,8344.71,03-09-2005 00:00,Shipped,1,3,2005,Vintage Cars,Australia
10420,45,26.88,1,1209.6,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10120,34,83.79,5,2848.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,38,69.31,6,2633.78,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10193,20,50.62,9,1012.4,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10391,24,100,1,4042.08,03-09-2005 00:00,Shipped,1,3,2005,Vintage Cars,Australia
10169,38,74.11,11,2816.18,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10148,21,73.6,4,1545.6,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,39,100,9,3933.93,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10415,21,67.82,1,1424.22,05-09-2005 00:00,Disputed,2,5,2005,Planes,Australia
10148,34,100,3,4392.12,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,55,96.3,8,5296.5,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10342,39,40.4,9,1575.6,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10148,31,73.62,5,2282.22,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,35,96.74,10,3385.9,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10169,34,50.21,1,1707.14,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10342,48,62.45,10,2997.6,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10361,34,100,6,3871.92,12/17/2004 0:00,Shipped,4,12,2004,Vintage Cars,Australia
10415,18,69.7,2,1254.6,05-09-2005 00:00,Disputed,2,5,2005,Vintage Cars,Australia
10148,27,100,7,3469.5,09-11-2003 00:00,Shipped,3,9,2003,Classic Cars,Australia
10420,26,100,12,2617.16,5/29/2005 0:00,In Process,2,5,2005,Classic Cars,Australia
10342,42,100,6,5013.54,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,Australia
10361,26,100,7,3710.98,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10193,22,41.03,12,902.66,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10420,15,43.49,3,652.35,5/29/2005 0:00,In Process,2,5,2005,Vintage Cars,Australia
10152,23,100,3,2802.09,9/25/2003 0:00,Shipped,3,9,2003,Classic Cars,Australia
10139,29,100,4,3276.13,7/16/2003 0:00,Shipped,3,7,2003,Vintage Cars,Australia
10193,20,100,4,2279,11/21/2003 0:00,Shipped,4,11,2003,Vintage Cars,Australia
10120,29,85.49,9,2479.21,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,23,74.62,10,1716.26,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10361,25,62.46,1,1561.5,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10169,24,94.58,6,2269.92,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,Australia
10270,32,85.72,1,2743.04,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,Australia
10120,22,100,6,2461.36,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,Australia
10223,21,100,7,2475.27,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,Australia
10169,26,39.83,9,1035.58,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10152,33,50.95,2,1681.35,9/25/2003 0:00,Shipped,3,9,2003,Trains,Australia
10270,21,63.35,5,1330.35,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,Australia
10370,25,100,3,3160.25,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,Australia
10120,29,72.23,11,2094.67,4/29/2003 0:00,Shipped,2,4,2003,Vintage Cars,Australia
10223,20,66.04,12,1320.8,2/20/2004 0:00,Shipped,1,2,2004,Vintage Cars,Australia
10361,49,72.33,2,3544.17,12/17/2004 0:00,Shipped,4,12,2004,Vintage Cars,Australia
10169,34,100,12,3920.88,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10120,49,50.62,12,2480.38,4/29/2003 0:00,Shipped,2,4,2003,Vintage Cars,Australia
10223,41,46.26,13,1896.66,2/20/2004 0:00,Shipped,1,2,2004,Vintage Cars,Australia
10361,33,82.59,3,2725.47,12/17/2004 0:00,Shipped,4,12,2004,Vintage Cars,Australia
10169,48,80.55,10,3866.4,11-04-2003 00:00,Shipped,4,11,2003,Motorcycles,Australia
10120,47,82.21,13,3863.87,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,25,100,14,2534.75,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10361,20,60.54,4,1210.8,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10361,24,45.39,14,1089.36,12/17/2004 0:00,Shipped,4,12,2004,Ships,Australia
10415,32,95.95,4,3070.4,05-09-2005 00:00,Disputed,2,5,2005,Ships,Australia
10120,24,100,15,2584.8,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
