ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,Country
10273,30,100,4,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,Belgium
10338,41,100,1,5624.79,11/22/2004 0:00,Shipped,4,11,2004,Planes,Belgium
10366,34,100,3,4207.84,01-10-2005 00:00,Shipped,1,1,2005,Classic Cars,Belgium
10366,49,100,2,6144.6,01-10-2005 00:00,Shipped,1,1,2005,Classic Cars,Belgium
10423,10,88.14,1,881.4,5/30/2005 0:00,In Process,2,5,2005,Vintage Cars,Belgium
10423,31,53.72,3,1665.32,5/30/2005 0:00,In Process,2,5,2005,Vintage Cars,Belgium
10273,34,98.06,2,3334.04,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10338,28,82.58,3,2312.24,11/22/2004 0:00,Shipped,4,11,2004,Ships,Belgium
10423,21,84.82,2,1781.22,5/30/2005 0:00,In Process,2,5,2005,Vintage Cars,Belgium
10221,33,100,3,4417.38,2/18/2004 0:00,Shipped,1,2,2004,Vintage Cars,Belgium
10273,40,100,13,5026.4,7/21/2004 0:00,Shipped,3,7,2004,Vintage Cars,Belgium
10366,34,100,1,6275.72,01-10-2005 00:00,Shipped,1,1,2005,Classic Cars,Belgium
10221,23,80.67,5,1855.41,2/18/2004 0:00,Shipped,1,2,2004,Trains,Belgium
10273,47,100,15,5450.59,7/21/2004 0:00,Shipped,3,7,2004,Trains,Belgium
10423,21,89.29,5,1875.09,5/30/2005 0:00,In Process,2,5,2005,Vintage Cars,Belgium
10273,50,85.75,1,4287.5,7/21/2004 0:00,Shipped,3,7,2004,Vintage Cars,Belgium
10338,45,100,2,5526.45,11/22/2004 0:00,Shipped,4,11,2004,Vintage Cars,Belgium
10221,39,89.53,2,3491.67,2/18/2004 0:00,Shipped,1,2,2004,Vintage Cars,Belgium
10273,33,71.09,12,2345.97,7/21/2004 0:00,Shipped,3,7,2004,Vintage Cars,Belgium
10221,49,100,1,6804.63,2/18/2004 0:00,Shipped,1,2,2004,Ships,Belgium
10273,22,100,11,2784.76,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10273,27,100,6,2796.12,7/21/2004 0:00,Shipped,3,7,2004,Vintage Cars,Belgium
10273,48,83.02,3,3984.96,7/21/2004 0:00,Shipped,3,7,2004,Vintage Cars,Belgium
10423,28,78.89,4,2208.92,5/30/2005 0:00,In Process,2,5,2005,Vintage Cars,Belgium
10116,27,63.38,1,1711.26,04-11-2003 00:00,Shipped,2,4,2003,Trains,Belgium
10144,20,81.86,1,1637.2,8/13/2003 0:00,Shipped,3,8,2003,Vintage Cars,Belgium
10273,21,65.34,7,1372.14,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10221,23,97,4,2231,2/18/2004 0:00,Shipped,1,2,2004,Ships,Belgium
10273,21,100,14,2146.2,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10273,42,62.16,5,2610.72,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10273,40,86.15,8,3446,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10273,26,100,9,2969.46,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
10273,37,45.86,10,1696.82,7/21/2004 0:00,Shipped,3,7,2004,Ships,Belgium
