ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,Country
10206,47,100,6,9064.89,12-05-2003 00:00,Shipped,4,12,2003,Classic Cars,Canada
10411,23,100,9,4140.23,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,Canada
10261,27,100,1,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,Canada
10283,25,100,6,2992,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,Canada
10313,40,100,7,6678,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,Canada
10411,27,100,2,4427.73,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,Canada
10206,28,100,3,4056.36,12-05-2003 00:00,Shipped,4,12,2003,Trucks and Buses,Canada
10313,21,100,11,2669.1,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10411,40,100,6,6232,05-01-2005 00:00,Shipped,2,5,2005,Trucks and Buses,Canada
10206,34,100,5,3966.78,12-05-2003 00:00,Shipped,4,12,2003,Trucks and Buses,Canada
10411,27,100,8,3213,05-01-2005 00:00,Shipped,2,5,2005,Trucks and Buses,Canada
10171,35,100,2,4508,11-05-2003 00:00,Shipped,4,11,2003,Classic Cars,Canada
10171,35,100,1,4680.2,11-05-2003 00:00,Shipped,4,11,2003,Classic Cars,Canada
10313,29,100,2,3416.78,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10313,34,52.87,5,1797.58,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10235,24,76.03,3,1824.72,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10206,37,90.17,7,3336.29,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10206,28,67.46,9,1888.88,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10283,21,98.06,4,2059.26,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10206,30,100,8,3581.4,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10171,39,100,3,5481.45,11-05-2003 00:00,Shipped,4,11,2003,Classic Cars,Canada
10313,25,100,3,4572.25,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,Canada
